Loaded 5210 packets from Packets/EQemu6.pcapng.
Packet#	Opcode(?)	Length	Bytes			Time
0	0x100	24	00 01 00 00 00 03 0e 65 d6 f8 00 00 02 00 45 76 65 72 71 75 65 73 74 00	1746084854.715194002
1	0x200	18	00 02 0e 65 d6 f8 ff ff ff ff 02 00 00 00 00 02 00 00	1746084854.738633232
2	0x900	20	00 09 00 00 01 00 02 00 00 00 00 00 00 00 00 00 0b 00 dd 00	1746084854.757300971
3	0x300	33	00 03 04 00 15 00 00 17 00 09 00 00 17 00 02 00 00 00 00 00 00 00 00 00 01 65 00 00 00 00 00 dc 36	1746084854.803211859
4	0x300	50	00 03 04 00 15 00 00 28 00 09 00 01 02 00 03 00 00 00 00 02 00 00 00 00 0f 4a 41 5c e5 ea 23 1d 8a 19 d8 ae 7a a3 d1 57 f5 2d 7f 8a 20 66 c7 46 75 e4	1746084854.810387252
5	0x1500	18	00 15 00 01 ae f2 00 00 00 00 00 00 00 00 00 00 00 00	1746084854.836174039
6	0x900	98	00 09 00 01 18 00 03 00 00 00 00 02 00 00 00 00 a2 f9 77 d7 1c e0 97 f9 f7 e4 59 a2 c0 2f 30 f3 ea f9 a0 b7 25 91 98 1f e0 0e 83 d1 c5 12 7a 57 9b 67 d4 58 0b ac 57 2d ef 29 64 67 6e fb 49 6d d5 07 91 e0 81 9f 90 e0 10 d6 9b 98 6e fb 49 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 a5	1746084854.877629103
7	0x300	26	00 03 04 00 15 00 01 10 00 09 00 02 04 00 04 00 00 00 00 00 00 00 00 00 38 45	1746084854.886142719
8	0x900	98	00 09 00 01 18 00 03 00 00 00 00 02 00 00 00 00 a2 f9 77 d7 1c e0 97 f9 f7 e4 59 a2 c0 2f 30 f3 ea f9 a0 b7 25 91 98 1f e0 0e 83 d1 c5 12 7a 57 9b 67 d4 58 0b ac 57 2d ef 29 64 67 6e fb 49 6d d5 07 91 e0 81 9f 90 e0 10 d6 9b 98 6e fb 49 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 a5	1746084854.893578793
9	0x1500	6	00 15 00 01 ae f2	1746084854.899047316
